HOPDONGTHUE,HD001,2018-01-01,NT001,QH001,1000000
HOPDONGTHUE,HD002,2018-01-02,NT002,QH002,2000000
HOPDONGTHUE,HD003,2018-01-03,NT003,QH003,3000000
HOPDONGTHUE,HD004,2018-01-04,NT004,QH004,4000000
HOPDONGTHUE,HD005,2018-01-05,NT005,QH005,5000000
KHUVUC,KV001,KHU VUC 1,100000
KHUVUC,KV002,KHU VUC 2,200000
KHUVUC,KV003,KHU VUC 3,300000
KHUVUC,KV004,KHU VUC 4,400000
KHUVUC,KV005,KHU VUC 5,500000
LAMVIEC,QH001,NV001
LAMVIEC,QH002,NV002
LAMVIEC,QH003,NV003
LAMVIEC,QH004,NV004
LAMVIEC,QH005,NV005
LOAIQUAYHANG,LQ001,100000,QUAY 1,100
LOAIQUAYHANG,LQ002,200000,QUAY 2,200
LOAIQUAYHANG,LQ003,300000,QUAY 3,300
LOAIQUAYHANG,LQ004,400000,QUAY 4,400
LOAIQUAYHANG,LQ005,500000,QUAY 5,500
NGUOITHAN,NT001,HUYNH MINH PHUOC,512365214
NGUOITHAN,NT002,PHAM VAN MAN,213456789
NGUOITHAN,NT003,VO MINH TAM,992345678
NGUOITHAN,NT004,LE HUYNH TU,124156789
NGUOITHAN,NT005,LE ANH TUAN,435678912
NGUOITHUE,NT001,TRAN TRONG CHUNG,342124512,0123456789
NGUOITHUE,NT002,NGUYEN QUANG KHOI,521363214,0213652147
NGUOITHUE,NT003,NGUYEN VAN ANH,923413521,0321652147
NGUOITHUE,NT004,HUYNH MINH DUNG,728271932,0987654321
NGUOITHUE,NT005,NGUYEN VAN HUNG,241231451,0432154123
NHANVIEN,NV001,NGUYEN VAN A,NHAN VIEN,1000000
NHANVIEN,NV002,HUYNH MINH B,QUAN LY,2000000
NHANVIEN,NV003,TRAN NGOC C,NHAN VIEN,3000000
NHANVIEN,NV004,LAM TRUONG D,NHAN VIEN,4000000
NHANVIEN,NV005,NGUYEN HOANG E,QUAN LY,5000000
NONGSAN,LQ004,RAU
NONGSAN,LQ005,CUQUA
QUAYHANG,QH001,NV001,LQ001,KV001
QUAYHANG,QH002,NV002,LQ002,KV002
QUAYHANG,QH003,NV003,LQ003,KV003
QUAYHANG,QH004,NV004,LQ004,KV004
QUAYHANG,QH005,NV005,LQ005,KV005
THUYSAN,LQ001,NGOAIBIEN
THUYSAN,LQ002,NUOI
THUYSAN,LQ003,NGOAIBIEN
